gene,pval,logfoldchanges,cluster
RASGRP3,0.5227899966813704,0.5115998,0
ITGB1,0.5251298411863388,0.14391333,0
CLSPN,0.529622652151525,0.8472669,0
CMC1,0.5371347121001446,0.23330183,0
PSAP,0.5446700157718662,0.12326013,0
CLDN5,0.5518578145842848,0.43395627,0
UNG,0.5565764224294312,0.27473223,0
H2AFZ,0.5569842539305593,0.12480818,0
GCLM,0.5711500383784704,0.2277218,0
CSF3R,0.5720388650418291,0.5480642,0
TPPP3,0.5720388650418291,0.5480642,0
TCTEX1D2,0.5768440654199728,0.27473223,0
HIST1H2AC,0.598385596439975,0.23861334,0
SCGB3A2,0.6014595891557999,0.432945,0
KRT18,0.6060801957965709,0.37190297,0
CPOX,0.6117066381881494,0.30849114,0
S100A11,0.6211322152488717,0.124857776,0
MDK,0.6230692220842688,0.65397066,0
VMO1,0.6230692220842688,0.65397066,0
MARCH1,0.6230692220842688,0.65397066,0
NUF2,0.6353858767941418,0.65397066,0
CDT1,0.6465742438614677,0.65397066,0
LPCAT3,0.6596409956483829,0.22835866,0
FGL2,0.6735795344652006,0.2810063,0
HSD17B7,0.6780053696394543,0.19968879,0
CDK4,0.680764120158146,0.14362602,0
KLRD1,0.6809201392710921,0.23861334,0
AK1,0.6817026949896001,0.19968879,0
ST6GALNAC4,0.6908312152120966,0.20246795,0
TYMP,0.7214581427887774,0.089884795,0
KLF4,0.7288115397163151,0.20246795,0
IFI27,0.7440420138506977,0.15049374,0
MATK,0.7478862190843969,0.118741065,0
RND1,0.7604875437810279,0.23935324,0
F13A1,0.7610155568473757,0.4309272,0
CSF2RB,0.7610155568473757,0.4309272,0
CST3,0.7702927205036538,0.146481,0
TPM1,0.7757599414477249,0.14369684,0
FSCN1,0.7768138526838222,0.30575287,0
DNASE1L3,0.7840854747417974,0.4309272,0
MED24,0.7905555244212882,0.13702792,0
GEM,0.7907829779620505,0.2617158,0
CA2,0.7912382325725726,0.30575287,0
ASPM,0.8015574642303104,0.4309272,0
CTSH,0.8079760760045678,0.07527567,0
OAT,0.8139701310624095,0.07519838,0
MINPP1,0.8288828848584704,0.16831146,0
IFI30,0.8312614300430956,0.13256446,0
BLVRB,0.8448580985338286,0.09521682,0
SERPINF1,0.8527567424301927,0.16795443,0
TYROBP,0.8591356447197176,0.059598714,0
HEBP1,0.8675131895503169,0.07729057,0
ABCA3,0.8766116993572438,0.16759789,0
PLBD1,0.8766116993572438,0.16759789,0
PCOLCE,0.8766116993572438,0.16759789,0
PRC1,0.8766116993572438,0.16759789,0
TTC38,0.9062539199435253,0.09365854,0
TSPAN13,0.9127556453111976,0.16724186,0
HP,0.9127556453111976,0.16724186,0
TCF4,0.9127556453111976,0.16724186,0
IGF1,0.9127556453111976,0.16724186,0
