gene,pval,pval_adj,logfoldchanges,cluster
ZWINT,0.0024925995144138503,0.022321786696243438,2.768508,0
RUVBL2,0.002644765453806808,0.023332985423700693,1.4801468,0
LILRB2,0.0026638491692058293,0.023332985423700693,22.958092,0
CD33,0.0026638491692058293,0.023332985423700693,22.958092,0
CD8B,0.0028995832554939904,0.025184320538984697,1.4546188,0
RNF145,0.003037161191186485,0.02603281021016987,0.88588184,0
HIST1H2AG,0.0030658047046151706,0.02609195493289507,2.4426615,0
HVCN1,0.0031850969114384595,0.026916311927648953,2.502208,0
VCAN,0.0035179349165067905,0.02952113216649055,1.7056204,0
PTP4A3,0.003810396956174485,0.03175330796812071,1.3301156,0
TIMM13,0.0038620249208638343,0.03196158555197656,0.708518,0
FCGR3A,0.003916783194110583,0.032192738581730815,1.8979952,0
MAFB,0.004489787521936375,0.036159362592776176,2.380608,0
EPS8L1,0.0046311170574016595,0.036561450453170996,22.787516,0
TFR2,0.0046311170574016595,0.036561450453170996,22.787516,0
NMNAT3,0.0046311170574016595,0.036561450453170996,22.787516,0
PF4,0.004864839693140279,0.038155605436394346,24.442457,0
ARV1,0.005503639816195679,0.042608824383450414,1.480054,0
TUBA1B,0.005477137955971508,0.042608824383450414,0.635952,0
MYOM2,0.0057288234081476755,0.04406787237036673,1.9856912,0
PPBP,0.005782687193050646,0.04419888300420876,26.156586,0
IGKC,0.004325392999270073,0.03507075404813573,-0.99691147,0
DCN,0.004113029640217735,0.03357575216504274,-1.752228,0
HSPE1,0.0029171837957657275,0.025184320538984697,-0.9274856,0
MTRNR2L12,0.002197633117719576,0.02013099039132436,-0.8604297,0
HLA-DQB1,0.002075687122137696,0.019417815211533438,-0.9282271,0
C12orf75,0.0018814400138747011,0.01806182413319713,-0.95635587,0
HLA-DRB1,0.0010065056801091437,0.009981874513479112,-0.9831696,0
GZMA,0.0008928312886850708,0.008943749965017003,-1.0600486,0
HMGB2,0.0008775330639188643,0.008943749965017003,-1.0086172,0
CCL5,0.0006285562028573909,0.006795202193052874,-1.6829017,0
CLU,0.0002325410139157186,0.0029373601757774984,-1.102335,0
CEBPD,0.0001756338415479145,0.0022483941023549,-1.826494,0
DUSP2,7.493874122819081e-05,0.0010579586996921056,-1.4603255,0
KLF6,6.976568777354304e-05,0.0009966526824791862,-1.49193,0
LGALS3,6.113628949702072e-05,0.000894677407273474,-1.2193204,0
CST7,2.3213005692058213e-05,0.000392332490569998,-1.1735585,0
C1QA,2.239920329750788e-05,0.00038398634224299225,-1.9890673,0
HSPA1B,4.060583407246886e-06,9.023518682770857e-05,-2.2959836,0
HERPUD1,2.277902953780278e-06,5.4669670890726675e-05,-1.2218431,0
BATF,1.8926792175343704e-06,4.635132777635193e-05,-1.5069237,0
DUSP1,1.8709215092807744e-06,4.635132777635193e-05,-2.669037,0
NFKBIA,1.5615527953437825e-06,4.073615987853346e-05,-2.5740764,0
ALOX5AP,9.76010279666919e-07,2.6618462172734154e-05,-1.2432802,0
HSP90AA1,3.159622032400469e-08,1.1151607173178127e-06,-4.544707,0
ID2,9.902613716068986e-09,4.0976332618216495e-07,-2.3953826,0
ZFP36,1.9689649615898882e-12,1.243556817846245e-10,-4.32717,0
RGS1,1.1600343934533137e-12,7.733562623022092e-11,-7.230083,0
SRGN,1.222149970331999e-20,1.222149970331999e-18,-5.991694,0
CXCR4,7.654110761035544e-62,4.824990197484367e-59,-18.19922,0
CXCR4,1.0790143177810423e-15,1.8497388304817868e-13,18.084976,1
SRGN,1.1734234511347338e-06,3.610533695799181e-05,6.42307,1
RGS1,0.00015528743974244677,0.0023871040744100204,10.001764,1
ZFP36,0.0002454245817842574,0.0035060654540608194,4.3169513,1
KLF6,0.0016935345960347942,0.017369585600356865,2.2603326,1
HSP90AA1,0.0017115140515664665,0.017405227643048814,4.695591,1
BATF,0.0020661464457034807,0.020835090208774595,1.7393131,1
HERPUD1,0.003701723288707703,0.03497691296416727,1.4031909,1
C1QA,0.00505721092897455,0.04429673806401066,2.3586447,1
PPBP,0.005789892817264091,0.04998468619220798,-25.92994,1
PF4,0.00487155486181878,0.0433027098828336,-24.220926,1
CKB,0.004637692500589295,0.041531574632142944,-22.567553,1
VMO1,0.004637692500589295,0.041531574632142944,-22.567553,1
NMNAT3,0.004637692500589295,0.041531574632142944,-22.567553,1
EPS8L1,0.004637692500589295,0.041531574632142944,-22.567553,1
MDK,0.004637692500589295,0.041531574632142944,-22.567553,1
TFR2,0.004637692500589295,0.041531574632142944,-22.567553,1
EREG,0.004469291442578253,0.041531574632142944,-23.028662,1
NPC2,0.005310248003916361,0.0461760695992727,-0.95484537,1
TMEM14B,0.004997350969862314,0.04409427326349101,-0.9864435,1
MSR1,0.0026689144152317076,0.025828204018371364,-22.738037,1
CD33,0.0026689144152317076,0.025828204018371364,-22.738037,1
LILRB2,0.0026689144152317076,0.025828204018371364,-22.738037,1
SPP1,0.0026689144152317076,0.025828204018371364,-22.738037,1
PTMA,0.003465974029897614,0.03300927647521537,-3.8984094,1
